metric,value,year,method,n_clusters
nrmse dc,3.435174857185762,2009,medoids,32
rae dc,7.684454850279852,2009,medoids,32
correlation,0.011130528200553306,2010,medoids,32
nrmse dc,5.057316672051783,2010,medoids,32
rae dc,13.288399909971233,2010,medoids,32
correlation,0.005109236945761338,2011,medoids,32
nrmse dc,4.009982666129706,2011,medoids,32
rae dc,7.7314395556860545,2011,medoids,32
correlation,0.005093218993663366,2012,medoids,32
nrmse dc,5.095842898781936,2012,medoids,32
rae dc,12.341137076265866,2012,medoids,32
correlation,0.0033795449073342385,2013,medoids,32
nrmse dc,4.182781908897209,2013,medoids,32
rae dc,8.389778190644138,2013,medoids,32
correlation,0.008521446163721783,2014,medoids,32
nrmse dc,6.850813774638027,2014,medoids,32
rae dc,14.443097121433624,2014,medoids,32
correlation,0.012794436205777212,2015,medoids,32
nrmse dc,7.455953958678033,2015,medoids,32
rae dc,14.974759707220363,2015,medoids,32
correlation,0.01564319305413031,2016,medoids,32
nrmse dc,8.952401039080135,2016,medoids,32
rae dc,21.15648098166614,2016,medoids,32
correlation,0.006273745852891126,2008,medoids,48
nrmse dc,1.680870790524952,2008,medoids,48
rae dc,3.7332823645899125,2008,medoids,48
correlation,0.008557581975691972,2009,medoids,48
nrmse dc,3.2678757070351825,2009,medoids,48
rae dc,6.39057687219758,2009,medoids,48
correlation,0.007087300451286249,2010,medoids,48
nrmse dc,4.795014616994199,2010,medoids,48
rae dc,11.77369190805104,2010,medoids,48
correlation,0.004750283478879254,2011,medoids,48
nrmse dc,3.7280635408217333,2011,medoids,48
rae dc,6.511799617760185,2011,medoids,48
correlation,0.004873897828196916,2012,medoids,48
nrmse dc,4.858359568479522,2012,medoids,48
rae dc,10.978679245739263,2012,medoids,48
correlation,0.012809324992943849,2013,medoids,48
nrmse dc,3.992483756231343,2013,medoids,48
rae dc,7.150041269866345,2013,medoids,48
correlation,0.008368999471237334,2014,medoids,48
nrmse dc,6.4428880288720585,2014,medoids,48
rae dc,13.176829964897797,2014,medoids,48
correlation,0.022157421139568163,2015,medoids,48
nrmse dc,7.5429954020893035,2015,medoids,48
rae dc,15.798002730782903,2015,medoids,48
correlation,0.020833655823709923,2016,medoids,48
nrmse dc,8.722788785976293,2016,medoids,48
rae dc,19.872594635267834,2016,medoids,48
correlation,0.0046725594853764445,2008,medoids,61
nrmse dc,1.5196995780777982,2008,medoids,61
rae dc,2.811374813100649,2008,medoids,61
correlation,0.0017820474516037816,2009,medoids,61
nrmse dc,3.1694093111802117,2009,medoids,61
rae dc,6.40311191048086,2009,medoids,61
correlation,0.008654142761241582,2010,medoids,61
nrmse dc,4.911898067363691,2010,medoids,61
rae dc,12.829809421314103,2010,medoids,61
correlation,0.002206455994125056,2011,medoids,61
nrmse dc,3.9424134510557405,2011,medoids,61
rae dc,7.118440622590093,2011,medoids,61
correlation,0.002616833554351642,2012,medoids,61
nrmse dc,4.45936156299359,2012,medoids,61
