metric,value,year,method,n_clusters
correlation,0.09135431913894221,2012,medoids,1
nrmse dc,12.073613580297655,2012,medoids,1
rae dc,6.711094703025786,2012,medoids,1
correlation,0.09434423446466245,2013,medoids,1
nrmse dc,12.969754728820627,2013,medoids,1
rae dc,5.347504587389836,2013,medoids,1
correlation,0.09509855164966312,2014,medoids,1
nrmse dc,14.54468158701718,2014,medoids,1
rae dc,8.6886931154375,2014,medoids,1
correlation,0.10375912576310542,2015,medoids,1
nrmse dc,15.81642645164134,2015,medoids,1
rae dc,13.941118411322615,2015,medoids,1
correlation,0.10660788261145852,2016,medoids,1
nrmse dc,15.095708734187204,2016,medoids,1
rae dc,15.014644311117541,2016,medoids,1
correlation,0.08861402331249073,2012,medoids,2
nrmse dc,6.29109910724322,2012,medoids,2
rae dc,4.972923206920048,2012,medoids,2
correlation,0.09160393863821097,2013,medoids,2
nrmse dc,6.794750100941665,2013,medoids,2
rae dc,5.577359731012916,2013,medoids,2
correlation,0.09235825582321162,2014,medoids,2
nrmse dc,8.460368112470148,2014,medoids,2
rae dc,8.03549215871435,2014,medoids,2
correlation,0.10101882993665394,2015,medoids,2
nrmse dc,9.947688013512275,2015,medoids,2
rae dc,13.732246262989525,2015,medoids,2
correlation,0.10386758678500703,2016,medoids,2
nrmse dc,9.84372634098755,2016,medoids,2
rae dc,13.049240434732432,2016,medoids,2
correlation,0.01347650347566376,2012,medoids,4
nrmse dc,3.6095384611457475,2012,medoids,4
rae dc,5.853817258928786,2012,medoids,4
correlation,0.016466418801383997,2013,medoids,4
nrmse dc,4.011725836110453,2013,medoids,4
rae dc,4.823735336793928,2013,medoids,4
correlation,0.017220735986384666,2014,medoids,4
nrmse dc,6.023770431414778,2014,medoids,4
rae dc,7.762626360818543,2014,medoids,4
correlation,0.02588131009982697,2015,medoids,4
nrmse dc,7.618381731520626,2015,medoids,4
rae dc,13.389334027923056,2015,medoids,4
correlation,0.02873006694818007,2016,medoids,4
nrmse dc,7.303702477348513,2016,medoids,4
rae dc,14.003834472132901,2016,medoids,4
correlation,0.0026423241027469326,2012,medoids,8
nrmse dc,3.3349508093652442,2012,medoids,8
rae dc,7.178227960666203,2012,medoids,8
correlation,0.009465710302521857,2013,medoids,8
nrmse dc,3.3258957154004034,2013,medoids,8
rae dc,4.5815473711541195,2013,medoids,8
correlation,0.004505740353163794,2014,medoids,8
nrmse dc,5.362434027397184,2014,medoids,8
rae dc,9.091503691333322,2014,medoids,8
correlation,0.01881380644914617,2015,medoids,8
nrmse dc,6.911960167225243,2015,medoids,8
rae dc,12.906838177072792,2015,medoids,8
correlation,0.01749004113328793,2016,medoids,8
nrmse dc,7.154441717900004,2016,medoids,8
rae dc,15.411590835615796,2016,medoids,8
correlation,0.003766864504153533,2012,medoids,16
nrmse dc,2.7066624631502365,2012,medoids,16
rae dc,6.225758927297217,2012,medoids,16
correlation,0.01140686762495687,2013,medoids,16
nrmse dc,2.725056895805762,2013,medoids,16
rae dc,5.003498620446051,2013,medoids,16
correlation,0.004581598328996554,2014,medoids,16
nrmse dc,4.657714074053146,2014,medoids,16
rae dc,8.103545387903262,2014,medoids,16
correlation,0.020754963771581186,2015,medoids,16
nrmse dc,6.465792096342443,2015,medoids,16
rae dc,13.043693095991069,2015,medoids,16
correlation,0.019431198455722942,2016,medoids,16
nrmse dc,6.544516358237814,2016,medoids,16
rae dc,14.32598359663176,2016,medoids,16
correlation,0.005813868589078027,2012,medoids,32
nrmse dc,2.956954190824535,2012,medoids,32
rae dc,7.1331937281551925,2012,medoids,32
correlation,0.008813700130632207,2013,medoids,32
nrmse dc,3.0943733693470747,2013,medoids,32
rae dc,6.119109012462843,2013,medoids,32
correlation,0.002348134727285419,2014,medoids,32
nrmse dc,5.0932985096765835,2014,medoids,32
rae dc,9.044978685157723,2014,medoids,32
correlation,0.014185675891330277,2015,medoids,32
nrmse dc,6.874202509357613,2015,medoids,32
rae dc,14.217075553838628,2015,medoids,32
correlation,0.012861910575472035,2016,medoids,32
nrmse dc,6.7536035361933235,2016,medoids,32
rae dc,15.310347345725736,2016,medoids,32
correlation,0.001159604178416096,2012,medoids,48
nrmse dc,2.78271978543039,2012,medoids,48
rae dc,6.739599456124398,2012,medoids,48
correlation,0.00692035031952402,2013,medoids,48
nrmse dc,2.495243284269562,2013,medoids,48
rae dc,4.28240256651974,2013,medoids,48
correlation,0.0025846283323048094,2014,medoids,48
nrmse dc,4.6495179224028105,2014,medoids,48
rae dc,8.613801271476715,2014,medoids,48
correlation,0.016268446466148334,2015,medoids,48
nrmse dc,6.322089235625761,2015,medoids,48
rae dc,12.566839953157961,2015,medoids,48
correlation,0.014944681150290092,2016,medoids,48
nrmse dc,6.572523908553993,2016,medoids,48
rae dc,14.885163703440258,2016,medoids,48
correlation,0.0038288162042465768,2012,medoids,61
nrmse dc,2.6861113691123375,2012,medoids,61
rae dc,5.891565339062143,2012,medoids,61
correlation,0.0076974997240217835,2013,medoids,61
nrmse dc,2.3667942822462216,2013,medoids,61
rae dc,4.67064797328202,2013,medoids,61
correlation,0.0072570433743049945,2014,medoids,61
nrmse dc,4.5380373971205765,2014,medoids,61
rae dc,8.585405048592046,2014,medoids,61
correlation,0.017045595870646097,2015,medoids,61
nrmse dc,6.222271945157375,2015,medoids,61
rae dc,13.271912518000754,2015,medoids,61
correlation,0.0182761250728658,2016,medoids,61
nrmse dc,6.71335391751744,2016,medoids,61
rae dc,15.323825460765683,2016,medoids,61
correlation,0.09135431913894221,2012,medoids,1
nrmse dc,12.073613580297655,2012,medoids,1
rae dc,6.711094703025786,2012,medoids,1
correlation,0.09434423446466245,2013,medoids,1
nrmse dc,12.969754728820627,2013,medoids,1
rae dc,5.347504587389836,2013,medoids,1
correlation,0.09509855164966312,2014,medoids,1
nrmse dc,14.54468158701718,2014,medoids,1
rae dc,8.6886931154375,2014,medoids,1
correlation,0.10375912576310542,2015,medoids,1
nrmse dc,15.81642645164134,2015,medoids,1
rae dc,13.941118411322615,2015,medoids,1
correlation,0.10660788261145852,2016,medoids,1
nrmse dc,15.095708734187204,2016,medoids,1
rae dc,15.014644311117541,2016,medoids,1
correlation,0.08797015176820444,2012,medoids,2
nrmse dc,6.273445323808276,2012,medoids,2
rae dc,4.841587419002038,2012,medoids,2
correlation,0.09096006709392468,2013,medoids,2
nrmse dc,6.784718841603379,2013,medoids,2
rae dc,5.640929266991232,2013,medoids,2
correlation,0.09171438427892535,2014,medoids,2
nrmse dc,8.445073154364318,2014,medoids,2
rae dc,8.100764289219683,2014,medoids,2
correlation,0.10037495839236765,2015,medoids,2
nrmse dc,9.944734287474791,2015,medoids,2
rae dc,13.784252371199651,2015,medoids,2
correlation,0.10322371524072076,2016,medoids,2
nrmse dc,9.823316357531949,2016,medoids,2
rae dc,12.908836583421815,2016,medoids,2
correlation,0.014414035228681343,2012,medoids,4
nrmse dc,3.6635931425981076,2012,medoids,4
rae dc,5.6932409931464205,2012,medoids,4
correlation,0.01740395055440158,2013,medoids,4
nrmse dc,4.108521582886609,2013,medoids,4
rae dc,5.058751927217432,2013,medoids,4
correlation,0.01815826773940225,2014,medoids,4
nrmse dc,6.117717258658537,2014,medoids,4
rae dc,7.614910025831303,2014,medoids,4
correlation,0.026818841852844555,2015,medoids,4
nrmse dc,7.733592720860536,2015,medoids,4
rae dc,13.618486058372968,2015,medoids,4
correlation,0.029667598701197655,2016,medoids,4
nrmse dc,7.332174141462029,2016,medoids,4
rae dc,13.850890141654666,2016,medoids,4
correlation,0.005209276873448669,2012,medoids,8
nrmse dc,3.0974479644910944,2012,medoids,8
rae dc,5.538538347678263,2012,medoids,8
correlation,0.00998284486617181,2013,medoids,8
nrmse dc,3.6581119166525826,2013,medoids,8
rae dc,6.310799180354813,2013,medoids,8
correlation,0.008953509384169575,2014,medoids,8
nrmse dc,5.599736364654501,2014,medoids,8
rae dc,8.837263232862506,2014,medoids,8
correlation,0.019330941012796126,2015,medoids,8
nrmse dc,7.449942999213214,2015,medoids,8
rae dc,14.540934765928489,2015,medoids,8
correlation,0.02046284034596498,2016,medoids,8
nrmse dc,6.753723244020345,2016,medoids,8
rae dc,13.770031443195128,2016,medoids,8
correlation,0.002544356966044196,2012,medoids,16
nrmse dc,3.057747621852112,2012,medoids,16
rae dc,7.0045629910606495,2012,medoids,16
correlation,0.006789230649427676,2013,medoids,16
nrmse dc,2.8633918731034407,2013,medoids,16
rae dc,4.498288423198418,2013,medoids,16
correlation,0.005972584136102614,2014,medoids,16
nrmse dc,5.0677935419168305,2014,medoids,16
rae dc,8.931264845368533,2014,medoids,16
correlation,0.016137326796051992,2015,medoids,16
nrmse dc,6.640218829948715,2015,medoids,16
rae dc,13.173575579871267,2015,medoids,16
correlation,0.017448242244634815,2016,medoids,16
nrmse dc,6.884496982125557,2016,medoids,16
rae dc,15.257949547970151,2016,medoids,16
correlation,0.0017722764005351221,2012,medoids,32
nrmse dc,2.7301286748537503,2012,medoids,32
rae dc,5.474636603667953,2012,medoids,32
correlation,0.006163150764211811,2013,medoids,32
nrmse dc,3.405071243769353,2013,medoids,32
rae dc,6.327051557748256,2013,medoids,32
correlation,0.004369378495278298,2014,medoids,32
nrmse dc,5.359740165999088,2014,medoids,32
rae dc,8.153105802934203,2014,medoids,32
correlation,0.015511246910836126,2015,medoids,32
nrmse dc,7.306678398304939,2015,medoids,32
rae dc,14.943897883755108,2015,medoids,32
correlation,0.015819567651346067,2016,medoids,32
nrmse dc,6.55135076525391,2016,medoids,32
rae dc,14.19876962323236,2016,medoids,32
correlation,0.004256740426107315,2012,medoids,48
nrmse dc,2.4421296252554257,2012,medoids,48
rae dc,5.581121628432075,2012,medoids,48
correlation,0.011408036559230875,2013,medoids,48
nrmse dc,2.5661207058500852,2013,medoids,48
rae dc,4.646612608993162,2013,medoids,48
correlation,0.004237809011441736,2014,medoids,48
nrmse dc,4.403574382115548,2014,medoids,48
rae dc,7.464611141785878,2014,medoids,48
correlation,0.02075613270585519,2015,medoids,48
nrmse dc,6.373853763447088,2015,medoids,48
rae dc,13.178834859311161,2015,medoids,48
correlation,0.019432367389996947,2016,medoids,48
nrmse dc,6.335969864270428,2016,medoids,48
rae dc,13.825812614895574,2016,medoids,48
correlation,0.003285145321200981,2012,medoids,61
nrmse dc,3.0432327306752485,2012,medoids,61
rae dc,6.462498409778508,2012,medoids,61
correlation,0.005906427025632525,2013,medoids,61
nrmse dc,2.738753432872033,2013,medoids,61
rae dc,5.629444492022375,2013,medoids,61
correlation,0.006713372491259399,2014,medoids,61
nrmse dc,4.962651466306982,2014,medoids,61
rae dc,9.34550176428676,2014,medoids,61
correlation,0.01525452317225684,2015,medoids,61
nrmse dc,6.6729862730225,2015,medoids,61
rae dc,14.348560104654931,2015,medoids,61
correlation,0.016599003948255087,2016,medoids,61
nrmse dc,7.13194458597702,2016,medoids,61
rae dc,16.173298576943605,2016,medoids,61
correlation,0.09135431913894221,2012,medoids,1
nrmse dc,12.073613580297655,2012,medoids,1
rae dc,6.711094703025786,2012,medoids,1
correlation,0.09434423446466245,2013,medoids,1
nrmse dc,12.969754728820627,2013,medoids,1
rae dc,5.347504587389836,2013,medoids,1
correlation,0.09509855164966312,2014,medoids,1
nrmse dc,14.54468158701718,2014,medoids,1
rae dc,8.6886931154375,2014,medoids,1
correlation,0.10375912576310542,2015,medoids,1
nrmse dc,15.81642645164134,2015,medoids,1
rae dc,13.941118411322615,2015,medoids,1
correlation,0.10660788261145852,2016,medoids,1
nrmse dc,15.095708734187204,2016,medoids,1
rae dc,15.014644311117541,2016,medoids,1
correlation,0.08861402331249073,2012,medoids,2
nrmse dc,6.29109910724322,2012,medoids,2
rae dc,4.972923206920048,2012,medoids,2
correlation,0.09160393863821097,2013,medoids,2
nrmse dc,6.794750100941665,2013,medoids,2
rae dc,5.577359731012916,2013,medoids,2
correlation,0.09235825582321162,2014,medoids,2
nrmse dc,8.460368112470148,2014,medoids,2
rae dc,8.03549215871435,2014,medoids,2
correlation,0.10101882993665394,2015,medoids,2
nrmse dc,9.947688013512275,2015,medoids,2
rae dc,13.732246262989525,2015,medoids,2
correlation,0.10386758678500703,2016,medoids,2
nrmse dc,9.84372634098755,2016,medoids,2
rae dc,13.049240434732432,2016,medoids,2
correlation,0.013749648986861374,2012,medoids,4
nrmse dc,3.6032033713740823,2012,medoids,4
rae dc,5.77106554110452,2012,medoids,4
correlation,0.016739564312581612,2013,medoids,4
nrmse dc,4.0239923510816284,2013,medoids,4
rae dc,4.93544822038027,2013,medoids,4
correlation,0.01749388149758228,2014,medoids,4
nrmse dc,6.019015102442783,2014,medoids,4
rae dc,7.685742910676495,2014,medoids,4
correlation,0.026154455611024585,2015,medoids,4
nrmse dc,7.632882492162111,2015,medoids,4
rae dc,13.497530179679197,2015,medoids,4
correlation,0.029003212459377686,2016,medoids,4
nrmse dc,7.296495005547495,2016,medoids,4
rae dc,13.923897029869396,2016,medoids,4
correlation,0.006676125432281095,2012,medoids,8
nrmse dc,3.3209413281571307,2012,medoids,8
rae dc,6.845022989780648,2012,medoids,8
correlation,0.01461155259702803,2013,medoids,8
nrmse dc,3.544118603034319,2013,medoids,8
rae dc,5.377905821390087,2013,medoids,8
correlation,0.007675943787800972,2014,medoids,8
nrmse dc,5.511476541809799,2014,medoids,8
rae dc,8.804308581693784,2014,medoids,8
correlation,0.023959648743652345,2015,medoids,8
nrmse dc,7.207860458343738,2015,medoids,8
rae dc,13.629656719837596,2015,medoids,8
correlation,0.0226358834277941,2016,medoids,8
nrmse dc,7.130632104612817,2016,medoids,8
rae dc,15.120411584993278,2016,medoids,8
correlation,0.004579270280929859,2012,medoids,16
nrmse dc,2.7453799628986815,2012,medoids,16
rae dc,4.891132404770057,2012,medoids,16
correlation,0.011418049475002356,2013,medoids,16
nrmse dc,3.4055319645183517,2013,medoids,16
rae dc,6.425329697320812,2013,medoids,16
correlation,0.008323502791650764,2014,medoids,16
nrmse dc,5.294313058788421,2014,medoids,16
rae dc,8.939510379630923,2014,medoids,16
correlation,0.02076614562162667,2015,medoids,16
nrmse dc,7.220689058135732,2015,medoids,16
rae dc,14.455853374084384,2015,medoids,16
correlation,0.01983283375344617,2016,medoids,16
nrmse dc,6.430284311043913,2016,medoids,16
rae dc,13.036304708120559,2016,medoids,16
correlation,0.0053434073605662285,2012,medoids,32
nrmse dc,2.6631487924855626,2012,medoids,32
rae dc,5.839818520642663,2012,medoids,32
correlation,0.013278834525313163,2013,medoids,32
nrmse dc,2.731833821833041,2013,medoids,32
rae dc,5.037440782878871,2013,medoids,32
correlation,0.006339585004115171,2014,medoids,32
nrmse dc,4.485743092297512,2014,medoids,32
rae dc,7.730498587369145,2014,medoids,32
correlation,0.022626930671937478,2015,medoids,32
nrmse dc,6.3935559336981695,2015,medoids,32
rae dc,13.117762694347144,2015,medoids,32
correlation,0.021303165356079234,2016,medoids,32
nrmse dc,6.470408800265506,2016,medoids,32
rae dc,13.942026279675757,2016,medoids,32
correlation,0.0031567329198712857,2012,medoids,48
nrmse dc,2.671604263703195,2012,medoids,48
rae dc,5.046310632523803,2012,medoids,48
