,Method,Metric,n_clusters,value
197,,$REE_{av}$,61,10.018442030830265
210,,$CE_{av}$,2,0.08797015176820666
211,,$NRMSE_{av}$,2,6.273445323808277
212,,$REE_{av}$,2,4.841587419002038
225,,$CE_{av}$,4,0.015411977459327209
226,,$NRMSE_{av}$,4,3.7032595708460314
227,,$REE_{av}$,4,5.5856574980879445
240,,$CE_{av}$,8,0.005036081741306949
241,,$NRMSE_{av}$,8,3.3796438352326383
242,,$REE_{av}$,8,7.254633567904254
255,,$CE_{av}$,16,0.001984225874777016
256,,$NRMSE_{av}$,16,3.0059965229551833
257,,$REE_{av}$,16,6.915427310148915
270,,$CE_{av}$,32,0.0029327072730643464
271,,$NRMSE_{av}$,32,2.8465214932863283
272,,$REE_{av}$,32,6.182419429352009
285,,$CE_{av}$,48,0.001058628790844433
286,,$NRMSE_{av}$,48,2.905301226123232
287,,$REE_{av}$,48,6.510952778048984
300,,$CE_{av}$,61,0.00451864453265105
301,,$NRMSE_{av}$,61,3.3658672716204365
302,,$REE_{av}$,61,7.724651327915275
315,,$CE_{av}$,2,0.08797015176820666
316,,$NRMSE_{av}$,2,6.273445323808277
317,,$REE_{av}$,2,4.841587419002038
330,,$CE_{av}$,4,0.013771745450912865
331,,$NRMSE_{av}$,4,3.6119663615154134
332,,$REE_{av}$,4,5.823341914373344
345,,$CE_{av}$,8,0.0047375802953323705
346,,$NRMSE_{av}$,8,3.2866656476769776
347,,$REE_{av}$,8,6.896540076276441
360,,$CE_{av}$,16,0.00579035985234259
361,,$NRMSE_{av}$,16,3.1099048254541106
362,,$REE_{av}$,16,6.97698870183434
375,,$CE_{av}$,32,0.0031738326973640056
376,,$NRMSE_{av}$,32,3.045600430612055
377,,$REE_{av}$,32,6.906987836891108
390,,$CE_{av}$,48,0.0018049038433051534
391,,$NRMSE_{av}$,48,3.0058207931443786
392,,$REE_{av}$,48,6.6378777582005775
405,,$CE_{av}$,61,0.002839928652598485
406,,$NRMSE_{av}$,61,3.2530671655487233
407,,$REE_{av}$,61,7.336348978771062
420,,$CE_{av}$,2,0.08797015176820666
421,,$NRMSE_{av}$,2,6.273445323808277
422,,$REE_{av}$,2,4.841587419002038
435,,$CE_{av}$,4,0.013983838692488834
436,,$NRMSE_{av}$,4,3.632311655024712
437,,$REE_{av}$,4,5.800878150606088
450,,$CE_{av}$,8,0.004136010704032429
451,,$NRMSE_{av}$,8,3.4181284196212918
452,,$REE_{av}$,8,7.435976819315338
465,,$CE_{av}$,16,0.00457049214597675
466,,$NRMSE_{av}$,16,2.6882547355596156
467,,$REE_{av}$,16,5.84987361272993
480,,$CE_{av}$,32,0.0008865855840261005
481,,$NRMSE_{av}$,32,2.5934848288529504
482,,$REE_{av}$,32,5.2492078604873535
495,,$CE_{av}$,48,0.002516678539488004
496,,$NRMSE_{av}$,48,3.2466017699340117
497,,$REE_{av}$,48,7.994434369466869
510,,$CE_{av}$,61,0.004222888878768168
511,,$NRMSE_{av}$,61,3.224954458047826
512,,$REE_{av}$,61,7.4063984244445455
525,,$CE_{av}$,2,0.08805761980687636
526,,$NRMSE_{av}$,2,6.270367121879535
527,,$REE_{av}$,2,4.94349761437549
540,,$CE_{av}$,4,0.014148491272092537
541,,$NRMSE_{av}$,4,3.657599108619744
542,,$REE_{av}$,4,5.974111157437927
555,,$CE_{av}$,8,0.005819378694628304
556,,$NRMSE_{av}$,8,3.3608914960265683
557,,$REE_{av}$,8,7.060854434218911
570,,$CE_{av}$,16,0.0025468681070144328
571,,$NRMSE_{av}$,16,2.8384914090106967
572,,$REE_{av}$,16,6.559656862397696
585,,$CE_{av}$,32,0.0030945706267972626
586,,$NRMSE_{av}$,32,2.674019711073372
587,,$REE_{av}$,32,5.925075434287126
600,,$CE_{av}$,48,0.008622677797342495
601,,$NRMSE_{av}$,48,3.3547496569680786
602,,$REE_{av}$,48,8.506791490134642
615,,$CE_{av}$,61,0.004282213781914586
616,,$NRMSE_{av}$,61,3.024908901461439
617,,$REE_{av}$,61,7.709855379072695
630,,$CE_{av}$,2,0.08852302817832791
631,,$NRMSE_{av}$,2,6.29417730917196
632,,$REE_{av}$,2,4.871013011546594
645,,$CE_{av}$,4,0.013306822272682315
646,,$NRMSE_{av}$,4,3.6160696815965485
647,,$REE_{av}$,4,5.797848268517622
660,,$CE_{av}$,8,0.006073288704621871
661,,$NRMSE_{av}$,8,3.3062460184939724
662,,$REE_{av}$,8,6.888915773576692
675,,$CE_{av}$,16,0.0030790108354434484
676,,$NRMSE_{av}$,16,2.8480704737190976
677,,$REE_{av}$,16,5.217182702519949
690,,$CE_{av}$,32,0.004599324499713786
691,,$NRMSE_{av}$,32,2.799969987458608
692,,$REE_{av}$,32,6.380585987582703
705,,$CE_{av}$,48,0.005352755230397689
706,,$NRMSE_{av}$,48,3.346583941513462
707,,$REE_{av}$,48,8.196892355413198
720,,$CE_{av}$,61,0.003237797849277801
721,,$NRMSE_{av}$,61,3.1493370932132545
722,,$REE_{av}$,61,6.922612492458318
735,,$CE_{av}$,2,0.08805761980687636
736,,$NRMSE_{av}$,2,6.270367121879535
737,,$REE_{av}$,2,4.94349761437549
750,,$CE_{av}$,4,0.014448720421885422
751,,$NRMSE_{av}$,4,3.661592821731922
752,,$REE_{av}$,4,5.848803897947207
765,,$CE_{av}$,8,0.003757092698137473
766,,$NRMSE_{av}$,8,3.3872655083269443
767,,$REE_{av}$,8,7.354522168538853
780,,$CE_{av}$,16,0.001461808727367379
781,,$NRMSE_{av}$,16,3.2098578726985942
782,,$REE_{av}$,16,7.472123626847291
795,,$CE_{av}$,32,0.004098815529980815
796,,$NRMSE_{av}$,32,2.6315604919277136
797,,$REE_{av}$,32,4.981444871734199
810,,$CE_{av}$,48,0.003985293549426598
811,,$NRMSE_{av}$,48,2.7966218017185183
812,,$REE_{av}$,48,6.3465387506212965
825,,$CE_{av}$,61,0.006653319418360781
826,,$NRMSE_{av}$,61,3.795643146943753
827,,$REE_{av}$,61,9.921907311927091
840,,$CE_{av}$,2,0.08852302817832791
841,,$NRMSE_{av}$,2,6.29417730917196
842,,$REE_{av}$,2,4.871013011546594
855,,$CE_{av}$,4,0.013823813943081112
856,,$NRMSE_{av}$,4,3.6406149847222435
857,,$REE_{av}$,4,5.771358392413923
870,,$CE_{av}$,8,0.0047767958195519275
871,,$NRMSE_{av}$,8,3.0572217355581612
872,,$REE_{av}$,8,5.6210465049520275
885,,$CE_{av}$,16,0.004624620321239299
886,,$NRMSE_{av}$,16,3.0242139133751333
887,,$REE_{av}$,16,6.091066482841484
900,,$CE_{av}$,32,0.006041340693522172
901,,$NRMSE_{av}$,32,2.3708293448080604
902,,$REE_{av}$,32,5.209034564906848
915,,$CE_{av}$,48,0.004004488709122289
916,,$NRMSE_{av}$,48,2.9938310287033016
917,,$REE_{av}$,48,6.939319665919001
930,,$CE_{av}$,61,0.0011170577981421221
931,,$NRMSE_{av}$,61,2.981875144790965
932,,$REE_{av}$,61,6.380466473249585
945,,$CE_{av}$,2,0.08797015176820666
946,,$NRMSE_{av}$,2,6.273445323808277
947,,$REE_{av}$,2,4.841587419002038
960,,$CE_{av}$,4,0.013978694176110787
961,,$NRMSE_{av}$,4,3.6481191281722767
962,,$REE_{av}$,4,5.950680537115402
975,,$CE_{av}$,8,0.00424850817094391
976,,$NRMSE_{av}$,8,3.273179121680188
977,,$REE_{av}$,8,6.790072260414234
990,,$CE_{av}$,16,0.0021592573043195027
991,,$NRMSE_{av}$,16,2.7000689803363858
992,,$REE_{av}$,16,5.899274720741521
1005,,$CE_{av}$,32,0.0060948100867742605
1006,,$NRMSE_{av}$,32,2.8479215319296443
1007,,$REE_{av}$,32,6.320356710049086
1020,,$CE_{av}$,48,0.002741533335287964
1021,,$NRMSE_{av}$,48,2.7863758575754267
1022,,$REE_{av}$,48,5.775500605676139
1035,,$CE_{av}$,61,0.004542674326886265
1036,,$NRMSE_{av}$,61,2.313580019252944
1037,,$REE_{av}$,61,4.9452684334316555
1050,,$CE_{av}$,2,0.06201258847879695
1051,,$NRMSE_{av}$,2,6.357627566817863
1052,,$REE_{av}$,2,6.31136346088024
1065,,$CE_{av}$,4,0.012280157390592551
1066,,$NRMSE_{av}$,4,3.88670987434794
1067,,$REE_{av}$,4,6.569626547964805
1080,,$CE_{av}$,8,0.00575520975127138
1081,,$NRMSE_{av}$,8,3.3298391603574644
1082,,$REE_{av}$,8,6.679211928498268
1095,,$CE_{av}$,16,0.0011391642148591192
1096,,$NRMSE_{av}$,16,3.2079295059073085
1097,,$REE_{av}$,16,7.574883651752683
1110,,$CE_{av}$,32,0.0049912929753003574
1111,,$NRMSE_{av}$,32,3.104462862674965
1112,,$REE_{av}$,32,7.220363367923205
1125,,$CE_{av}$,48,0.0031504038493049835
1126,,$NRMSE_{av}$,48,2.7198030547880627
1127,,$REE_{av}$,48,5.5485774735414735
1140,,$CE_{av}$,61,0.0011779552388783885
1141,,$NRMSE_{av}$,61,2.879644103665377
1142,,$REE_{av}$,61,6.562390083270997
1155,,$CE_{av}$,2,0.061457738450075176
1156,,$NRMSE_{av}$,2,6.338362804201453
1157,,$REE_{av}$,2,6.284109075201776
1170,,$CE_{av}$,4,0.012202147898620804
1171,,$NRMSE_{av}$,4,3.8714128282412665
1172,,$REE_{av}$,4,6.6290539776716475
1185,,$CE_{av}$,8,0.004447368386207555
1186,,$NRMSE_{av}$,8,3.288943511065739
1187,,$REE_{av}$,8,6.660772447764306
1200,,$CE_{av}$,16,0.0037163217230938477
1201,,$NRMSE_{av}$,16,3.0479024872348504
1202,,$REE_{av}$,16,7.1063890021708405
1215,,$CE_{av}$,32,0.002227559209107369
1216,,$NRMSE_{av}$,32,2.687913704944273
1217,,$REE_{av}$,32,5.611852202685722
1230,,$CE_{av}$,48,0.001699282306714604
1231,,$NRMSE_{av}$,48,2.8964069591737385
1232,,$REE_{av}$,48,7.007322301296334
1245,,$CE_{av}$,61,0.0009189423783256082
1246,,$NRMSE_{av}$,61,2.7404612863411444
1247,,$REE_{av}$,61,6.022015873530897
1260,,$CE_{av}$,2,0.06201258847879695
1261,,$NRMSE_{av}$,2,6.357627566817863
1262,,$REE_{av}$,2,6.31136346088024
1275,,$CE_{av}$,4,0.01204599721822667
1276,,$NRMSE_{av}$,4,3.8725762504604484
1277,,$REE_{av}$,4,6.709407281787136
1290,,$CE_{av}$,8,0.005409962291244426
1291,,$NRMSE_{av}$,8,3.2328464221963227
1292,,$REE_{av}$,8,6.627457245740532
1305,,$CE_{av}$,16,0.0022562832366449146
1306,,$NRMSE_{av}$,16,3.0040416549220534
1307,,$REE_{av}$,16,6.826730460594734
1320,,$CE_{av}$,32,0.0012369928202450307
1321,,$NRMSE_{av}$,32,2.695058632531295
1322,,$REE_{av}$,32,5.4432562928554304
1335,,$CE_{av}$,48,0.003560060582265915
1336,,$NRMSE_{av}$,48,2.887167806916348
1337,,$REE_{av}$,48,6.396939643063284
1350,,$CE_{av}$,61,0.001009643207389203
1351,,$NRMSE_{av}$,61,2.9353043867871675
1352,,$REE_{av}$,61,7.261109250776531
1365,,$CE_{av}$,2,0.06142614218006781
1366,,$NRMSE_{av}$,2,6.335313457492273
1367,,$REE_{av}$,2,6.395309522679032
1380,,$CE_{av}$,4,0.012175224144745441
1381,,$NRMSE_{av}$,4,3.870670226912567
1382,,$REE_{av}$,4,6.600114911059403
1395,,$CE_{av}$,8,0.006003420375863507
1396,,$NRMSE_{av}$,8,3.2364673014714938
1397,,$REE_{av}$,8,6.175186642457341
1410,,$CE_{av}$,16,0.005484871582132511
1411,,$NRMSE_{av}$,16,2.8912873486109603
1412,,$REE_{av}$,16,6.835683622485497
1425,,$CE_{av}$,32,0.0017420105035725144
1426,,$NRMSE_{av}$,32,2.6263577116772034
1427,,$REE_{av}$,32,5.431750920217234
1440,,$CE_{av}$,48,0.005548538322975823
1441,,$NRMSE_{av}$,48,3.273331292360861
1442,,$REE_{av}$,48,8.566314544361093
1455,,$CE_{av}$,61,0.003274927719765823
1456,,$NRMSE_{av}$,61,2.6914735146913755
1457,,$REE_{av}$,61,5.800383714013946
1470,,$CE_{av}$,2,0.0614731502110828
1471,,$NRMSE_{av}$,2,6.3390153009426164
1472,,$REE_{av}$,2,6.302538645529885
1485,,$CE_{av}$,4,0.012179859537641669
1486,,$NRMSE_{av}$,4,3.87135201255454
1487,,$REE_{av}$,4,6.638955185890162
1500,,$CE_{av}$,8,0.006491518692873714
1501,,$NRMSE_{av}$,8,3.2854049866416237
1502,,$REE_{av}$,8,6.659321301705724
1515,,$CE_{av}$,16,0.004825097449461542
1516,,$NRMSE_{av}$,16,2.9419062084376866
1517,,$REE_{av}$,16,6.297431248809246
1530,,$CE_{av}$,32,0.00238393000178172
1531,,$NRMSE_{av}$,32,2.609597038876979
1532,,$REE_{av}$,32,5.497647665386514
1545,,$CE_{av}$,48,0.0024324740720544913
1546,,$NRMSE_{av}$,48,2.580234328633845
1547,,$REE_{av}$,48,5.403008285734277
1560,,$CE_{av}$,61,0.0025858990753549285
1561,,$NRMSE_{av}$,61,3.4251923388146586
1562,,$REE_{av}$,61,7.971373864947543
