,Method,Metric,n_clusters,value
2475,,$CE_{av}$,32,0.10749650331862523
2476,,$NRMSE_{av}$,32,18.83572510217047
2477,,$REE_{av}$,32,50.07623135188307
2490,,$CE_{av}$,48,0.1124053322985962
2491,,$NRMSE_{av}$,48,18.110331958087176
2492,,$REE_{av}$,48,45.84207194998546
2505,,$CE_{av}$,61,0.11242336105357137
2506,,$NRMSE_{av}$,61,18.011631221323047
2507,,$REE_{av}$,61,46.193801079730775
2520,,$CE_{av}$,2,0.10045130027156224
2521,,$NRMSE_{av}$,2,18.513354842216266
2522,,$REE_{av}$,2,46.954386903821785
2535,,$CE_{av}$,4,0.05762412131219478
2536,,$NRMSE_{av}$,4,17.281091512766405
2537,,$REE_{av}$,4,46.54336651986639
2550,,$CE_{av}$,8,0.05699217513882353
2551,,$NRMSE_{av}$,8,20.02970406194964
2552,,$REE_{av}$,8,52.496639043224704
2565,,$CE_{av}$,16,0.0915075339983787
2566,,$NRMSE_{av}$,16,22.20728293154592
2567,,$REE_{av}$,16,57.614980699979846
2580,,$CE_{av}$,32,0.10749650331862523
2581,,$NRMSE_{av}$,32,18.83572510217047
2582,,$REE_{av}$,32,50.07623135188307
2595,,$CE_{av}$,48,0.1124053322985962
2596,,$NRMSE_{av}$,48,18.110331958087176
2597,,$REE_{av}$,48,45.84207194998546
2610,,$CE_{av}$,61,0.11242336105357137
2611,,$NRMSE_{av}$,61,18.011631221323047
2612,,$REE_{av}$,61,46.193801079730775
2625,,$CE_{av}$,2,0.10045130027156224
2626,,$NRMSE_{av}$,2,18.513354842216266
2627,,$REE_{av}$,2,46.954386903821785
2640,,$CE_{av}$,4,0.05762412131219478
2641,,$NRMSE_{av}$,4,17.281091512766405
2642,,$REE_{av}$,4,46.54336651986639
2655,,$CE_{av}$,8,0.05699217513882353
2656,,$NRMSE_{av}$,8,20.02970406194964
2657,,$REE_{av}$,8,52.496639043224704
2670,,$CE_{av}$,16,0.0915075339983787
2671,,$NRMSE_{av}$,16,22.20728293154592
2672,,$REE_{av}$,16,57.614980699979846
2685,,$CE_{av}$,32,0.10749650331862523
2686,,$NRMSE_{av}$,32,18.83572510217047
2687,,$REE_{av}$,32,50.07623135188307
2700,,$CE_{av}$,48,0.1124053322985962
2701,,$NRMSE_{av}$,48,18.110331958087176
2702,,$REE_{av}$,48,45.84207194998546
2715,,$CE_{av}$,61,0.11242336105357137
2716,,$NRMSE_{av}$,61,18.011631221323047
2717,,$REE_{av}$,61,46.193801079730775
2730,,$CE_{av}$,2,0.10045130027156224
2731,,$NRMSE_{av}$,2,18.513354842216266
2732,,$REE_{av}$,2,46.954386903821785
2745,,$CE_{av}$,4,0.05762412131219478
2746,,$NRMSE_{av}$,4,17.281091512766405
2747,,$REE_{av}$,4,46.54336651986639
2760,,$CE_{av}$,8,0.05699217513882353
2761,,$NRMSE_{av}$,8,20.02970406194964
2762,,$REE_{av}$,8,52.496639043224704
2775,,$CE_{av}$,16,0.0915075339983787
2776,,$NRMSE_{av}$,16,22.20728293154592
2777,,$REE_{av}$,16,57.614980699979846
2790,,$CE_{av}$,32,0.10749650331862523
2791,,$NRMSE_{av}$,32,18.83572510217047
2792,,$REE_{av}$,32,50.07623135188307
2805,,$CE_{av}$,48,0.1124053322985962
2806,,$NRMSE_{av}$,48,18.110331958087176
2807,,$REE_{av}$,48,45.84207194998546
2820,,$CE_{av}$,61,0.11242336105357137
2821,,$NRMSE_{av}$,61,18.011631221323047
2822,,$REE_{av}$,61,46.193801079730775
2835,,$CE_{av}$,2,0.10045130027156224
2836,,$NRMSE_{av}$,2,18.513354842216266
2837,,$REE_{av}$,2,46.954386903821785
2850,,$CE_{av}$,4,0.05762412131219478
2851,,$NRMSE_{av}$,4,17.281091512766405
2852,,$REE_{av}$,4,46.54336651986639
2865,,$CE_{av}$,8,0.05699217513882353
2866,,$NRMSE_{av}$,8,20.02970406194964
2867,,$REE_{av}$,8,52.496639043224704
2880,,$CE_{av}$,16,0.0915075339983787
2881,,$NRMSE_{av}$,16,22.20728293154592
2882,,$REE_{av}$,16,57.614980699979846
2895,,$CE_{av}$,32,0.10749650331862523
2896,,$NRMSE_{av}$,32,18.83572510217047
2897,,$REE_{av}$,32,50.07623135188307
2910,,$CE_{av}$,48,0.1124053322985962
2911,,$NRMSE_{av}$,48,18.110331958087176
2912,,$REE_{av}$,48,45.84207194998546
2925,,$CE_{av}$,61,0.11242336105357137
2926,,$NRMSE_{av}$,61,18.011631221323047
2927,,$REE_{av}$,61,46.193801079730775
2940,,$CE_{av}$,2,0.10045130027156224
2941,,$NRMSE_{av}$,2,18.513354842216266
2942,,$REE_{av}$,2,46.954386903821785
2955,,$CE_{av}$,4,0.05762412131219478
2956,,$NRMSE_{av}$,4,17.281091512766405
2957,,$REE_{av}$,4,46.54336651986639
2970,,$CE_{av}$,8,0.05699217513882353
2971,,$NRMSE_{av}$,8,20.02970406194964
2972,,$REE_{av}$,8,52.496639043224704
2985,,$CE_{av}$,16,0.0915075339983787
2986,,$NRMSE_{av}$,16,22.20728293154592
2987,,$REE_{av}$,16,57.614980699979846
3000,,$CE_{av}$,32,0.10749650331862523
3001,,$NRMSE_{av}$,32,18.83572510217047
3002,,$REE_{av}$,32,50.07623135188307
3015,,$CE_{av}$,48,0.1124053322985962
3016,,$NRMSE_{av}$,48,18.110331958087176
3017,,$REE_{av}$,48,45.84207194998546
3030,,$CE_{av}$,61,0.11242336105357137
3031,,$NRMSE_{av}$,61,18.011631221323047
3032,,$REE_{av}$,61,46.193801079730775
3045,,$CE_{av}$,2,0.10045130027156224
3046,,$NRMSE_{av}$,2,18.513354842216266
3047,,$REE_{av}$,2,46.954386903821785
3060,,$CE_{av}$,4,0.05762412131219478
3061,,$NRMSE_{av}$,4,17.281091512766405
3062,,$REE_{av}$,4,46.54336651986639
3075,,$CE_{av}$,8,0.05699217513882353
3076,,$NRMSE_{av}$,8,20.02970406194964
3077,,$REE_{av}$,8,52.496639043224704
3090,,$CE_{av}$,16,0.0915075339983787
3091,,$NRMSE_{av}$,16,22.20728293154592
3092,,$REE_{av}$,16,57.614980699979846
3105,,$CE_{av}$,32,0.10749650331862523
3106,,$NRMSE_{av}$,32,18.83572510217047
3107,,$REE_{av}$,32,50.07623135188307
3120,,$CE_{av}$,48,0.1124053322985962
3121,,$NRMSE_{av}$,48,18.110331958087176
3122,,$REE_{av}$,48,45.84207194998546
3135,,$CE_{av}$,61,0.11242336105357137
3136,,$NRMSE_{av}$,61,18.011631221323047
3137,,$REE_{av}$,61,46.193801079730775
