metric,value,year,method,n_clusters
nrmse dc,3.2834940571777267,2013,medoids,8
rae dc,4.5502198087662125,2013,medoids,8
correlation,0.005895802760979452,2014,medoids,8
nrmse dc,5.294977368202348,2014,medoids,8
rae dc,8.971921455278828,2014,medoids,8
correlation,0.02014650936144909,2015,medoids,8
nrmse dc,6.864563548029391,2015,medoids,8
rae dc,12.957065838378815,2015,medoids,8
correlation,0.01882274404559107,2016,medoids,8
nrmse dc,7.108731914024189,2016,medoids,8
rae dc,15.286398277412339,2016,medoids,8
correlation,0.006197755467542458,2012,medoids,16
nrmse dc,3.0396814434184205,2012,medoids,16
rae dc,6.8569395661946215,2012,medoids,16
correlation,0.013185091077075032,2013,medoids,16
nrmse dc,3.0914161946942187,2013,medoids,16
rae dc,5.714057167064588,2013,medoids,16
correlation,0.006014863529286189,2014,medoids,16
nrmse dc,4.98907647752942,2014,medoids,16
rae dc,8.79436287860481,2014,medoids,16
correlation,0.02253318722369942,2015,medoids,16
nrmse dc,6.823046616825846,2015,medoids,16
rae dc,13.838313855012368,2015,medoids,16
correlation,0.021209421907841402,2016,medoids,16
nrmse dc,6.885454342107901,2016,medoids,16
rae dc,15.080653356327822,2016,medoids,16
correlation,0.001700997379801894,2012,medoids,32
nrmse dc,2.866606324346924,2012,medoids,32
rae dc,6.093819327368134,2012,medoids,32
correlation,0.009241185522183263,2013,medoids,32
nrmse dc,2.8597180360539594,2013,medoids,32
rae dc,5.693069457196779,2013,medoids,32
correlation,0.0054452298905227625,2014,medoids,32
nrmse dc,4.837819564898653,2014,medoids,32
rae dc,8.869896971900806,2014,medoids,32
correlation,0.01858928166880765,2015,medoids,32
nrmse dc,6.701607245835806,2015,medoids,32
rae dc,14.37083489037723,2015,medoids,32
correlation,0.017265516352949633,2016,medoids,32
nrmse dc,6.95603994339626,2016,medoids,32
rae dc,15.665171662589925,2016,medoids,32
correlation,0.004706950214298307,2012,medoids,48
nrmse dc,3.0188357051840526,2012,medoids,48
rae dc,6.974925003659102,2012,medoids,48
correlation,0.012642377379045056,2013,medoids,48
nrmse dc,2.4457704106309457,2013,medoids,48
rae dc,4.07334564297984,2013,medoids,48
correlation,0.008417734385163985,2014,medoids,48
nrmse dc,4.608605467956109,2014,medoids,48
rae dc,8.865953464226216,2014,medoids,48
correlation,0.021990473525669445,2015,medoids,48
nrmse dc,6.156558006580551,2015,medoids,48
rae dc,12.72548543985463,2015,medoids,48
correlation,0.020666708209811424,2016,medoids,48
nrmse dc,6.838779825498691,2016,medoids,48
rae dc,15.176441261972437,2016,medoids,48
correlation,0.0033707649679686944,2012,medoids,61
nrmse dc,3.8514065557789556,2012,medoids,61
rae dc,10.018442030830265,2012,medoids,61
correlation,0.007267049024567836,2013,medoids,61
nrmse dc,3.11516665893375,2013,medoids,61
rae dc,6.528168109315061,2013,medoids,61
correlation,0.0007916310832150794,2014,medoids,61
nrmse dc,5.451824214441196,2014,medoids,61
rae dc,11.88121246715959,2014,medoids,61
correlation,0.016615145171192225,2015,medoids,61
nrmse dc,6.7401003157954165,2015,medoids,61
rae dc,14.755111626304137,2015,medoids,61
correlation,0.015291379855334205,2016,medoids,61
nrmse dc,7.664025030081151,2016,medoids,61
rae dc,18.248087816562695,2016,medoids,61
correlation,0.08797015176820666,2012,medoids,2
nrmse dc,6.273445323808276,2012,medoids,2
rae dc,4.841587419002038,2012,medoids,2
correlation,0.09096006709392686,2013,medoids,2
nrmse dc,6.784718841603379,2013,medoids,2
rae dc,5.640929266991232,2013,medoids,2
correlation,0.09171438427892753,2014,medoids,2
nrmse dc,8.445073154364318,2014,medoids,2
rae dc,8.100764289219683,2014,medoids,2
correlation,0.10037495839236983,2015,medoids,2
nrmse dc,9.944734287474791,2015,medoids,2
rae dc,13.784252371199651,2015,medoids,2
correlation,0.10322371524072278,2016,medoids,2
nrmse dc,9.823316357531949,2016,medoids,2
rae dc,12.908836583421815,2016,medoids,2
correlation,0.015411977459327209,2012,medoids,4
nrmse dc,3.7032595708460305,2012,medoids,4
rae dc,5.5856574980879445,2012,medoids,4
correlation,0.01840189278504741,2013,medoids,4
nrmse dc,4.176851889224942,2013,medoids,4
rae dc,5.250317356205481,2013,medoids,4
correlation,0.019156209970048077,2014,medoids,4
nrmse dc,6.1763514330244975,2014,medoids,4
rae dc,7.531959867261997,2014,medoids,4
correlation,0.027816784083490382,2015,medoids,4
nrmse dc,7.810080659998223,2015,medoids,4
rae dc,13.807916343969907,2015,medoids,4
correlation,0.030665540931843333,2016,medoids,4
nrmse dc,7.355454674967011,2016,medoids,4
rae dc,13.752478985434763,2016,medoids,4
correlation,0.0050360817413069485,2012,medoids,8
nrmse dc,3.3796438352326383,2012,medoids,8
rae dc,7.254633567904254,2012,medoids,8
correlation,0.012971508906053697,2013,medoids,8
nrmse dc,3.408897835548155,2013,medoids,8
rae dc,4.803985416879095,2013,medoids,8
correlation,0.007825310403025032,2014,medoids,8
nrmse dc,5.429072261444027,2014,medoids,8
rae dc,9.18877711225156,2014,medoids,8
correlation,0.022319605052678087,2015,medoids,8
nrmse dc,6.997419743140352,2015,medoids,8
rae dc,13.149648297411323,2015,medoids,8
correlation,0.020995839736820066,2016,medoids,8
nrmse dc,7.21915827249941,2016,medoids,8
rae dc,15.524144367597707,2016,medoids,8
correlation,0.001984225874777016,2012,medoids,16
nrmse dc,3.005996522955184,2012,medoids,16
rae dc,6.915427310148915,2012,medoids,16
correlation,0.0069067117518936865,2013,medoids,16
nrmse dc,2.9332225569637616,2013,medoids,16
rae dc,4.971520425003271,2013,medoids,16
correlation,0.0022078082702044663,2014,medoids,16
nrmse dc,5.044023112062946,2014,medoids,16
rae dc,8.842156488847477,2014,medoids,16
correlation,0.016254807898518076,2015,medoids,16
nrmse dc,6.719933387637681,2015,medoids,16
rae dc,13.176227129844497,2015,medoids,16
correlation,0.014931042582660056,2016,medoids,16
nrmse dc,6.827804101205065,2016,medoids,16
rae dc,15.146795866887247,2016,medoids,16
correlation,0.0029327072730643464,2012,medoids,32
nrmse dc,2.846521493286328,2012,medoids,32
rae dc,6.182419429352009,2012,medoids,32
correlation,0.010409490171928307,2013,medoids,32
nrmse dc,2.6544921170260536,2013,medoids,32
rae dc,4.8739190161589905,2013,medoids,32
correlation,0.0038141948049776144,2014,medoids,32
nrmse dc,4.5711793530349905,2014,medoids,32
rae dc,8.149517357481782,2014,medoids,32
correlation,0.019757586318552695,2015,medoids,32
nrmse dc,6.407270298441695,2015,medoids,32
rae dc,13.496956318261846,2015,medoids,32
correlation,0.018433821002694677,2016,medoids,32
nrmse dc,6.736930780844795,2016,medoids,32
rae dc,14.903756836363089,2016,medoids,32
correlation,0.001058628790844433,2012,medoids,48
nrmse dc,2.905301226123232,2012,medoids,48
rae dc,6.510952778048984,2012,medoids,48
correlation,0.008938670964063497,2013,medoids,48
nrmse dc,2.5635456911781636,2013,medoids,48
rae dc,4.659120385651236,2013,medoids,48
correlation,0.004802861301565302,2014,medoids,48
nrmse dc,4.6276659821061505,2014,medoids,48
rae dc,8.560844082090306,2014,medoids,48
correlation,0.018286767110687885,2015,medoids,48
nrmse dc,6.331996049735728,2015,medoids,48
rae dc,13.310697390655582,2015,medoids,48
correlation,0.016963001794829864,2016,medoids,48
nrmse dc,6.85016286351652,2016,medoids,48
rae dc,15.338020122881302,2016,medoids,48
correlation,0.0045186445326510505,2012,medoids,61
nrmse dc,3.3658672716204365,2012,medoids,61
rae dc,7.724651327915275,2012,medoids,61
correlation,0.0048899790225376645,2013,medoids,61
nrmse dc,2.893294573151174,2013,medoids,61
rae dc,5.3464004839446275,2013,medoids,61
correlation,0.007946871702709505,2014,medoids,61
nrmse dc,5.26202136922631,2014,medoids,61
rae dc,10.425919128709937,2014,medoids,61
correlation,0.014238075169162053,2015,medoids,61
nrmse dc,6.534660486054329,2015,medoids,61
rae dc,13.40495141636598,2015,medoids,61
correlation,0.016084941353058935,2016,medoids,61
nrmse dc,7.456757997075164,2016,medoids,61
rae dc,17.322695165061035,2016,medoids,61
correlation,0.08797015176820666,2012,medoids,2
nrmse dc,6.273445323808276,2012,medoids,2
rae dc,4.841587419002038,2012,medoids,2
correlation,0.09096006709392686,2013,medoids,2
nrmse dc,6.784718841603379,2013,medoids,2
rae dc,5.640929266991232,2013,medoids,2
correlation,0.09171438427892753,2014,medoids,2
nrmse dc,8.445073154364318,2014,medoids,2
rae dc,8.100764289219683,2014,medoids,2
correlation,0.10037495839236983,2015,medoids,2
nrmse dc,9.944734287474791,2015,medoids,2
rae dc,13.784252371199651,2015,medoids,2
correlation,0.10322371524072278,2016,medoids,2
nrmse dc,9.823316357531949,2016,medoids,2
rae dc,12.908836583421815,2016,medoids,2
correlation,0.013771745450912865,2012,medoids,4
nrmse dc,3.611966361515414,2012,medoids,4
rae dc,5.823341914373344,2012,medoids,4
correlation,0.016761660776633065,2013,medoids,4
nrmse dc,4.023142575328282,2013,medoids,4
rae dc,4.887462952854609,2013,medoids,4
correlation,0.017515977961633733,2014,medoids,4
nrmse dc,6.026962910912324,2014,medoids,4
rae dc,7.736135682566634,2014,medoids,4
correlation,0.026176552075076038,2015,medoids,4
nrmse dc,7.630554157201838,2015,medoids,4
rae dc,13.4529545306127,2015,medoids,4
correlation,0.02902530892342899,2016,medoids,4
nrmse dc,7.305435101801446,2016,medoids,4
rae dc,13.977083492376236,2016,medoids,4
correlation,0.0047375802953323705,2012,medoids,8
nrmse dc,3.2866656476769776,2012,medoids,8
rae dc,6.89654007627644,2012,medoids,8
correlation,0.012673007460079119,2013,medoids,8
nrmse dc,3.436545034858787,2013,medoids,8
rae dc,5.001705347491087,2013,medoids,8
correlation,0.00647448193583533,2014,medoids,8
nrmse dc,5.420664960719094,2014,medoids,8
rae dc,8.833011658619048,2014,medoids,8
correlation,0.022021103606703507,2015,medoids,8
nrmse dc,7.069353914956326,2015,medoids,8
rae dc,13.317123071123257,2015,medoids,8
correlation,0.020697338290845486,2016,medoids,8
nrmse dc,7.103885889537183,2016,medoids,8
rae dc,15.144229438075229,2016,medoids,8
correlation,0.00579035985234259,2012,medoids,16
nrmse dc,3.1099048254541106,2012,medoids,16
rae dc,6.9769887018343395,2012,medoids,16
correlation,0.013647190670613188,2013,medoids,16
nrmse dc,2.980138147003764,2013,medoids,16
rae dc,5.1602444108451,2013,medoids,16
correlation,0.006476963122824346,2014,medoids,16
nrmse dc,4.91968805617803,2014,medoids,16
rae dc,8.91217077743213,2014,medoids,16
correlation,0.022995286817237576,2015,medoids,16
nrmse dc,6.679554997300367,2015,medoids,16
rae dc,13.312452042062608,2015,medoids,16
correlation,0.02167152150137956,2016,medoids,16
nrmse dc,6.936586564819527,2016,medoids,16
rae dc,15.221413644438016,2016,medoids,16
correlation,0.003173832697364006,2012,medoids,32
nrmse dc,3.045600430612055,2012,medoids,32
rae dc,6.906987836891109,2012,medoids,32
correlation,0.011109259862110754,2013,medoids,32
nrmse dc,3.014861901706034,2013,medoids,32
rae dc,5.5800374213581305,2013,medoids,32
correlation,0.006133444519977549,2014,medoids,32
nrmse dc,5.011259386048594,2014,medoids,32
