,Method,Metric,n_clusters,value
0,Centroids,$CE_{av}$,1,0.0604740988465378
1,Medoids,$CE_{av}$,1,0.10261126601166405
2,Centroids,$CE_{av}$,2,0.06552810018034011
3,Medoids,$CE_{av}$,2,0.07665738000737479
4,Centroids,$CE_{av}$,4,0.01674609728381208
5,Medoids,$CE_{av}$,4,0.017659458030314754
6,Centroids,$CE_{av}$,8,0.010670360452832404
7,Medoids,$CE_{av}$,8,0.010095268852264546
8,Centroids,$CE_{av}$,16,0.009714155404898093
9,Medoids,$CE_{av}$,16,0.01031789022091048
10,Centroids,$CE_{av}$,32,0.008979998582227245
11,Medoids,$CE_{av}$,32,0.009742507336317215
12,Centroids,$CE_{av}$,48,0.009098602796293149
13,Medoids,$CE_{av}$,48,0.010597052014484501
14,Centroids,$CE_{av}$,61,0.008103903213625677
15,Medoids,$CE_{av}$,61,0.008403310447751564
16,Centroids,$NRMSE_{av}$,1,14.194213275510732
17,Medoids,$NRMSE_{av}$,1,14.125182456296304
18,Centroids,$NRMSE_{av}$,2,8.497036958134451
19,Medoids,$NRMSE_{av}$,2,8.055783761774396
20,Centroids,$NRMSE_{av}$,4,6.029504068642334
21,Medoids,$NRMSE_{av}$,4,5.969008468655429
22,Centroids,$NRMSE_{av}$,8,5.389895707956736
23,Medoids,$NRMSE_{av}$,8,5.458359637529982
24,Centroids,$NRMSE_{av}$,16,5.045762585388782
25,Medoids,$NRMSE_{av}$,16,5.167294680833477
26,Centroids,$NRMSE_{av}$,32,5.088266338712622
27,Medoids,$NRMSE_{av}$,32,5.0742575452420065
28,Centroids,$NRMSE_{av}$,48,4.951552725108538
29,Medoids,$NRMSE_{av}$,48,5.088149020374264
30,Centroids,$NRMSE_{av}$,61,5.131082168223069
31,Medoids,$NRMSE_{av}$,61,5.091258744084504
32,Centroids,$REE_{av}$,1,9.956003405950959
33,Medoids,$REE_{av}$,1,10.673210624078477
34,Centroids,$REE_{av}$,2,9.998061967504736
35,Medoids,$REE_{av}$,2,9.563331093008333
36,Centroids,$REE_{av}$,4,10.157075396062858
37,Medoids,$REE_{av}$,4,9.78501693976975
38,Centroids,$REE_{av}$,8,10.497978790883995
39,Medoids,$REE_{av}$,8,10.737175953627888
40,Centroids,$REE_{av}$,16,10.294245095730089
41,Medoids,$REE_{av}$,16,10.424893949728713
42,Centroids,$REE_{av}$,32,10.941226288135857
43,Medoids,$REE_{av}$,32,10.63155663671364
44,Centroids,$REE_{av}$,48,10.480386574252696
45,Medoids,$REE_{av}$,48,11.013314877422292
46,Centroids,$REE_{av}$,61,11.140726588077433
47,Medoids,$REE_{av}$,61,10.980017491875492
