,metric,value,num_days,method
230,nrmse dc,1.3263338587409106,24,medoids
231,rae dc,2.0479704423653144,24,medoids
232,nrmse rdc,27.259802989830046,48,medoids
233,correlation,0.0027941442107508596,48,medoids
234,nrmse dc,1.6238068094438838,48,medoids
235,rae dc,4.053232276034921,48,medoids
236,nrmse rdc,26.52640896159585,61,medoids
237,correlation,0.008509527748938317,61,medoids
238,nrmse dc,1.5009634066740682,61,medoids
239,rae dc,2.981598975568317,61,medoids
240,nrmse rdc,26.683972129989115,4,centroids
241,correlation,0.01678308534950712,4,centroids
242,nrmse dc,2.751786282300721,4,centroids
243,rae dc,1.8985873693793847,4,centroids
244,nrmse rdc,26.857186138701366,8,centroids
245,correlation,0.008234616417483243,8,centroids
246,nrmse dc,2.011665812101635,8,centroids
247,rae dc,1.6728597223846642,8,centroids
248,nrmse rdc,27.577357319969963,12,centroids
249,correlation,0.004890793657408188,12,centroids
250,nrmse dc,1.5913229649562284,12,centroids
251,rae dc,2.627288995122579,12,centroids
252,nrmse rdc,27.063202278926866,24,centroids
253,correlation,0.004035631126263262,24,centroids
254,nrmse dc,1.4309944847890563,24,centroids
255,rae dc,1.7175122258217732,24,centroids
256,nrmse rdc,26.826479202827453,48,centroids
257,correlation,0.00691319233890253,48,centroids
258,nrmse dc,2.006652878070035,48,centroids
259,rae dc,6.868458871339311,48,centroids
260,nrmse rdc,26.635351270848528,61,centroids
261,correlation,0.0027409885334243045,61,centroids
262,nrmse dc,1.4103316512495219,61,centroids
263,rae dc,3.803424664668216,61,centroids
264,nrmse rdc,26.50218140973603,4,medoids
265,correlation,0.024999408252192712,4,medoids
266,nrmse dc,2.8158882517934614,4,medoids
267,rae dc,2.0335203987900417,4,medoids
268,nrmse rdc,27.83795347615032,8,medoids
269,correlation,0.003906260592897448,8,medoids
270,nrmse dc,1.8972020712922637,8,medoids
271,rae dc,2.1397167009342417,8,medoids
272,nrmse rdc,27.728196284275118,12,medoids
273,correlation,0.008406112137955168,12,medoids
274,nrmse dc,1.757445960542216,12,medoids
275,rae dc,2.6865942579883932,12,medoids
276,nrmse rdc,26.447677165479664,24,medoids
277,correlation,0.005263476536856437,24,medoids
278,nrmse dc,1.658143034803668,24,medoids
279,rae dc,1.4298562616391255,24,medoids
280,nrmse rdc,26.71078854161419,48,medoids
281,correlation,0.006481534109313625,48,medoids
